URL: https://www.tumblr.com, Status: Ok(200), Response Time: 90ns, Time Stamp: 2024-12-12T02:47:55.064507726Z
URL: https://www.behance.net, Status: Ok(200), Response Time: 60ns, Time Stamp: 2024-12-12T02:47:55.097659618Z
URL: https://www.vimeo.com, Status: Ok(200), Response Time: 130ns, Time Stamp: 2024-12-12T02:47:55.440921515Z
URL: https://www.soundcloud.com, Status: Ok(200), Response Time: 80ns, Time Stamp: 2024-12-12T02:47:55.935557903Z
URL: https://www.dribbble.com, Status: Ok(200), Response Time: 80ns, Time Stamp: 2024-12-12T02:47:56.047572009Z
URL: https://www.udemy.com, Status: Ok(200), Response Time: 49ns, Time Stamp: 2024-12-12T02:47:56.090192859Z
URL: https://www.trello.com, Status: Ok(200), Response Time: 50ns, Time Stamp: 2024-12-12T02:47:56.330682743Z
URL: https://www.coursera.org, Status: Ok(200), Response Time: 120ns, Time Stamp: 2024-12-12T02:47:56.663772937Z
URL: https://www.fiverr.com, Status: Ok(200), Response Time: 70ns, Time Stamp: 2024-12-12T02:47:57.043087682Z
URL: https://www.archlinux.org, Status: Ok(200), Response Time: 101ns, Time Stamp: 2024-12-12T02:47:57.377500778Z
URL: https://www.mozilla.org, Status: Ok(200), Response Time: 80ns, Time Stamp: 2024-12-12T02:47:57.405701441Z
URL: https://www.slack.com, Status: Ok(200), Response Time: 111ns, Time Stamp: 2024-12-12T02:47:57.527650117Z
URL: https://www.nasa.gov, Status: Ok(200), Response Time: 81ns, Time Stamp: 2024-12-12T02:47:57.557774771Z
URL: https://www.gnu.org, Status: Ok(200), Response Time: 60ns, Time Stamp: 2024-12-12T02:47:57.637309232Z
URL: https://www.jenkins.io, Status: Ok(200), Response Time: 60ns, Time Stamp: 2024-12-12T02:47:57.674617638Z
URL: https://www.debian.org, Status: Ok(200), Response Time: 70ns, Time Stamp: 2024-12-12T02:47:57.813648740Z
URL: https://www.wikipedia.com, Status: Ok(200), Response Time: 90ns, Time Stamp: 2024-12-12T02:47:57.933120032Z
URL: https://www.docker.com, Status: Ok(200), Response Time: 60ns, Time Stamp: 2024-12-12T02:47:58.056333945Z
URL: https://www.bitbucket.org, Status: Ok(200), Response Time: 110ns, Time Stamp: 2024-12-12T02:47:58.074602470Z
URL: https://www.cloudflare.com, Status: Ok(200), Response Time: 90ns, Time Stamp: 2024-12-12T02:47:58.193181322Z
URL: https://www.gitlab.com, Status: Ok(200), Response Time: 110ns, Time Stamp: 2024-12-12T02:47:58.483356484Z
URL: https://www.atlassian.com, Status: Ok(200), Response Time: 100ns, Time Stamp: 2024-12-12T02:47:58.732202957Z
URL: https://www.shopify.com, Status: Ok(200), Response Time: 110ns, Time Stamp: 2024-12-12T02:47:58.867108475Z
